Q105,Q99,Q130,Q131,Q132,Q134,Q123,Q124,Q125,Q127,Q61,Q62,Q63,Q79,Q80,Q81a,Q57,Q58,Q59,Q37,Q36,Q31,Q32,Q141,Q142,Q143,Q136,Q137,Q138,Q54,Q55,Q44,Q45,Q92,Q81b,Q93,Q109,Q103,Q117,Q111,Q155,Q30,Q144,Q139,Q97,Q84,Q96a
size,,,,,,location,destination,distance,door,,,,Cheese_pos,Visited,labyrinth,,,,time,grid,,,MAX_PINUK,PINUK_PRICE,pinuks,,,,,,Regular_rate,Increased_rate,,,grid,"isAvailable(file, size, disk)",,"Sandwich_quantity(chocolate, icecream, paper)",,"GameDifficulty(grid_size, num_mines)",,"hasPinuk(recieved, used)",,,,Print_grid()
,,,,,,Destination_floor,Current_floor,Number_of_floors,Door_state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hours_in_full_time = 45,overtime_bonus=10,,,game_state,,,,,,,,,,,draw_state(game_state)
size,,,,,,requested_floor,current_floor,floors_to_move,is_door_open,,,,,,,cheese_location,visited,maze,game_time,tile,,,,,,,,,,,,,,,,"is_file_enlarge_possible(file, enlarge, free_space)      returns bool",,,calc_num_units,"calc_difficulty(grid_size, num_mines)        return float",,,,,,
,,,,,,dest_floor,org_floor,diff_floors,door_open,,,,,,,cheese_loc,past_visits,mase,,,total_time,mines_matrix,,,,MAX_BENEFITS_PER_MONTH,BILLING_SUM_FOR_BENEFIT,cur_benefits,FULL_TIME_CAPACITY,overtime_rate,,,,,cur_board,,,,"materials(units) returns b, ic, w",,"int game_level(h,w, mines)",,"exists_valid_benefits(cur_benefits, used_benefits)",,,show_board(cur_board)
fileSize,,destinationFloor,currentFloor,numOfFloors,doorState,,,,,,,,cheeseLocation,visitedCoordinates,labyrinth,,,,,,timer,Slot,,,,MAX_MONTHLY_BENEFITS,ENTITLEMENTS_THRESHOLD,currentMonthEntitlement,,,,,,boardCurrState,,"public boolean canIncreaseSize(file, int increaseBy, int available space)",,,"public int productExpectedQuantity( int biscuits, double icecreamCups, double height, double wodth)",,"public int getLevel(int width, int height, int numOfMines)",,"public boolean isEntitledToUse(int currentMonthEntitlement, int currentMonthUsage)",,List<List<string>> getBoard(),
,_size,to_floor,from_floor,delta_floors,is_door_open,,,,,,,,,,,cheese_location,seen_locations,maze,,,,,MAX_PINUKIM,PAYMENT_PER_PINUK,available_customer_pinukim,,,,BASE_RATE,hourly_rate,,,Board,,,,increaseFileSize(file),"min(biscuits//2, floor(vanilla/0.5), (wrapping_paper_height//20) * (wrapping_paper_width//10))",,,,return (available_customer_pinukim-customer_pinukim_used>0) and customer_pinukim_used<MAX_PINUKIM,,show(),,
file_size,,,,,,,,,,cheese_loc,visited_locs,maze,,,,,,,time,grid,,,,,,max_benefits,shekel_per_benefit,entitled_benefits_per_month,required_work_hours,overtime_rate,,,board,,,"can_enlarge(file, factor, avail_place)",,"calculate_num_of_sandwiches(biscuit, ice_cream, paper)",,"get_difficulty(grid_size, mines_num)",,,"can_use_benefit(entitled_benefits_per_month, used_benefits)",get_board(size),,
size,,,,,,destinationFloor,currentFloor,floorsToMove,isDoorOpened,objectiveLocation,visitedLocation,location,,,,,,,,,time,board,,,,kMaxBenefits,kAmountPerBenefit,benefitsNumber,kFullTimeHours,kOvertimeWageIncrease,,,,,,"canAddToFile(addSize, FreeSpace)",,"numIceCreamSandwich(uint numChocolateBiscuits, uint numVanillaIceCreamCups, size wrappingPaperSize)",,,"gameLevel(size, numOfMines)",,"entitledToBenefit(benefitsNumber, benefitsUsed)",,,
,,,,,,,,,,,,,,,,Cur_cheese_location,Visited,Maze,Time,Board,,,,,,,,,,,,,,Current_board,,,,,,"International  calc_dfficulty(size,num_of_mines",,,,,Void display_board(),
,size,cur_pose,goal,num_floors_to_move,door_state,,,,,,,,,,,cheese_location,visited_map,map,game_time,game_map,,,,,,,,,,,BASE_HOURS_PER_WEEK,extra_hours_bonus,,,,,"can_increase(file, by, available_dosk_space(",,,"difficulty(grid_size, num_mines(",,,,,,
size,,,,,,,,,,,,,,,,dailyCheeseLoc,prevCheeseLocs,maze,,,,,,,,,,,,,HOURLY_RATE,EXTRA_HOURS_RATE,,,,"checkDiskSpace(file, sizeToCheck, diskFreeSie)",,,"ניצחתם, זה חופר מדי",,,,,,,
,,Dest,Curr,Floors,IsOpen,,,,,,,,,,,curr,visited,maze,,,,,MAX_BONUS,BONUS_STEP,TOTAL_BONUS,,,,,,,,,,state,,,,,,,hasBonus,,,,ShowBoard (board)
,,,,,,,,,,,,,,,,,,,,,Time,NumMines,,,,,,,,,,,,,,,,,,,"Int difficulty(Int size, Int mines)",,,,,
size,,target_level,current_level,level_difference,is_closed,,,,,,,,,,,,,,session_time,board,,,,,,,,,,,,,,,,"is_enough_space(file, size_increase, available_space)",,,"get_num_casatas(bisc_num, vanilla_cups_num, paper_length, paper_width)","board_difficulty(height, width, mines_num)",,,,,,
,file_size,,,,,,,,,,,,cheese_location,visited,labyrinth,,,,,,game_duration,mines_indicator,,,,,,,,,,,,,board_state,,"isValidIncrease(file, addSpaceSize, freeSpaceSize)",,,,"getGameLevel(hight, width, mines)",,,,,draw_grid(board_state)
,file_size,,,,,,,,,,,,,,,cheeze_loc,visited,maze_room,,,,,,,,,,,,,NORMAL_HOURS_PER_WEEK,SPECIAL_RATE,,game_node,,,"update_file(file, update_size, free_space)",,,,,,,,display_board(game_node),
size,,dest,current,gap,isOpen,,,,,,,,,,,chease_place,visited,maze,,,,,,,,,,,fullTimeHours,extraHoursRate,,,,currentState,,"boolean enoughSpaceToExpand(file, size, freeSpace)",,,,,,,,,display(state),
,fSize,,,,,,,,,,,,locCheese,visited,labyrinth,,,,"timer, counter",MinesweeperBoard,,,,,,MAX_BENEFITS_PER_MONTH,ILS_PER_BENEFIT,numBenefits,,,,,,,gameState,,"static bool isEnoughSpace(File file, unsigned long incBy, unsigned long freeSpace);",,,"static int getMineSweeperDifficulty(int gridSize, int numMines);",,,"static bool checkBalance(unsigned int numEntitled, unsigned int numUsed);",,,void displayGrid();
,fieldSizeBytes,currFloor,destFloor,numOfFloors,isDoorOpen,,,,,,,,,,,currCheesePosition,visitedPositions,maze,,,secondsSinceStart,boardSetting,,,,,,,,,BASE_HOURS_WEEKLY,ADDITIONAL_HOUR_RATE,boardState,,,,"boolean verifyFileEnhancement(File file, int bytesToEnhance, int diskFreeBytes)","int getNumSandwiches(int biscuits, double iceCreamCups, int wrapperWidth, int wrapperHeight)",,,"getDifficulty(int numOfMines, int boardWidth, int boardHeight)",,,getBoard(),,
,,DesiredFloor,CurrentFloor,FloorNum,IsOpen,,,,,,,,,,,,,,,,,,,,,,,,,,RegularWeekWorkHours,ExtraPayPerHour,Board,,,,,"HowManySandiwichesFromIngredients(biacuitsNum, IceCreamCups, PaperArea)",,,,,,DisplayBoard(board),,
,_size,destinationStory,initialStory,numOfStoriesToGo,_isDoorOpen,,,,,,,,,,,,,,playTime,Square,,,,,,MAX_BENEFITS_PER_MONTH,BILLED_AMOUNT_FOR_BENEFIT,_currentNumOfBenefits,,,FULL_TIME_HOURS,EXTRA_HOURS_ADDITION,,,,,"hasEnoughSpaceToIncrease(File file, Number increasBy)",,,"WhatsTheDifficulty(into gridSize, into numOfMines)",,,"CanUseABenefit(currentNumOfBenefits, currentNumOfBenefitsUsed)",,,
,size,,,,,,,,,TODAY_CHEESE_LOCATION,visitedLocations,maze,,,,,,,timeFromBeginning,adjacentMinesArray,,,MAX,MAX_MONTHLY_BONUSES,currMonthlyBonuses,,,,FULL_TIME_HOURS,OVERTIME_RATE,,,,,,,"bool canIncreaseFilSize(file,byAmount,diskCapacity)",,,"int calcGameDifficulty(width,height,mineCount)",,"bool hasBonusesLeft(monthlyBonuses,usedBonusesSoFar)",,,,
,,,,,,target_level,curr_level,move_level_amount,door_state,,,,,,,,,,,,,,,,,MAX_NUM_BENEFITS,AMOUNT_PER_BENEFIT,curr_month_benefits,WEEKLY_WORK_HOURS,overtime_extra_payment,,,,,,,,,,,,,"boolean is_entitled(int entitled,int used)",,,
,,,,,,,,,,,,,cheeseLocation,visitedRooms,maze,,,,,,gameLength,mineGrid,maxPerks,spendingIncrement,currentPerks,,,,,,overtimeBoundry,overtimeRate,,,,,,,"def canMake (biscuits, icecream, paper)",,"def minesweeper(height,width,mines)","def elligible(earned,spent)",,,,
Size,,targetFloor,currentFloor,floorsShift,isDoorOpened,,,,,,,,,,,,,,,,,,MaxGiftsPerMonth,RequiredExpensesForGift,currentGiftThisMonth,,,,,,,,,,,"Bool canEnlargeFile(file, newsSize, freSizeOnDic)",,,,,,"Bool CanUseGift(userOwnedGifts, userUsedGifts)",,,,
fileSize,,,,,,,,,,,,,cheeseLocation,VisitedRooms,Labyrinth,,,,,,Clock,Cell,,,,,,,,,,,,,,"CheckIfFileCanBeEnlarge(file, size, freeSpace)",,,,,"int difficultyLevel(int dementionLevel, int bombs)",,,,,
,,CurrFloor,DetinatedFloor,FloorsToMove,IsDoorOpen,,,,,,,,CurrLocation,VisitedRooms,Labyrinth,,,,,,,,NumberOfPinukim,PriceRewardsPinuk,PinukimCurMonth,,,,,,,,,,,,,,,,,IsPinukValid,,,,
,_fileSize,,,,,,,,,,,,cheese_location,visited_map - a 2D array,a 2D array,,,,_timeCounter,minesMap,,,,,,,,,,,,,,,,,"boolean CanIncreaseFile(File file, int delta_bytes, int free_disk_space_bytes)",,"double calc_kasata(int bisq, double icecream, int paper_cm_sq)","int difficulty(int grid_size, int mines_num)",,,,,,
fileSize,,,,,,,,,,,,,cheeseLocation or prizeLocation or cheesePos or prizePos or targetPos or tgtPos or goalPos,"visitedLocation or visitedLoc, or visitedPos, or usedCells",labyrinth or maze or map or gameMap or level,,,,,,,,MAX_GIFTS_PER_MONTH,MONEY_TO_GIFT_THRESHOLD,userNumGifts,,,,NORMAL_WEEK_HOURS,bonusMoneyPerHour,,,,,,"bool increaseFileSize(File file, int size)",,,,,,"bool canGetGifts(int numAvailableGifts, int numUsedGifts)",,,,
fileSizeBytes,,,,,,,,,,,,,,,,,,,timeSinceStart,GAME_CELL,,,,,,MAX_MONTHLY_BENEFITS,BENEFIT_THRESHOLD,numBenefitsForMonth,FULLTIME_WEEKLY_WORK_HOURS,overtimeHourlyWage,,,,,,"bool isEnlargeFilePossible(File file, int enlargeByBytes, long availSpace)",,"int calculatePotentialSandwiches(int numBiscuits, float numVanillaCups, long paperLengthCm, long paperWidthCm)",,"DIFFICULTY_LEVEL_ENUM difficultyLevel (int numRows, int numCols, int numMines)",,,"bool clientHasBalance(Client client, int numBenefitsForMonth, int numUsedBenefits)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,targetPosition,visitedPositions,mazeMap,,,,,,,,,,,,,,usedBenefitsCount,minAccumulatedTarget,currentBenefitsCount,,,fullTimeHours,extraTimeWage,currentState,,,,,,,,,,"stillHasBenefits(int totalBenefits, int usedBenefits)",printBoard(boardMatrix currentBoard),,
_size,,,,,,,,,,,,,cheese_location,visited,board,,,,,,,,,,,max_benefits_per_month,price_level,NumOfBenefits,,,,,board,,,"check_enough_space(File f, size_t size, size_t cur_free_space)",,"can_produce(biscuits, cups, paper)",,,,,"bool calc_benefit(numOfBenefitsEntitled , numUsedBenefits)",print_board(),,
,,destination_floor,current_floor,diff_floor,door_state,,,,,,,,,,,,,,,,game_time,bombs_state,,,,,,,,,,,,current_state,,,,,,,"get_challenge_state(int rows, int cols, int num_bombs)",,,,display_board(boolean[][] board),
size,,,,,,,,,,,,,,,,,,,,,,,maxBonusPerMonth,bonusSpendingLimit,monthBonus,,,,,,maxHoursPerWeek,extraHoursRate,,boardStatus,,"boolean reallocate(FILE file, int bytesToAdd, int availableBytes)",,"int potentialCookies(int chocolateBiscuits, float vanillaIcecream, int[] wrappingPaper)",,,,"boolean isBonusAvailable(int monthBonus, int monthSpentBonus)",,,void printTable(Table table),
,size_in_bytes,,,,,,,,,,,,,,,,,,,,,mines_mat,,,,BENEFIT_MAX_NUM,ILS_TO_BENEFIT,number_of_benefits_to_grant,,,OVERTIME_REACHED_THRESHOLD,overtime_rate,,,,,"bool is_enough_space_to_increase_file_size(file, size_to_increase, space_available_on_disk)",,,,"int calculate_difficulty_level(board_width, board_height, num_of_mines)",,"bool does_user_has_more_benefits(number_of_benefits_to_grant, number_of_benefits_used)",,,
,,,,,,,,,,,,,,,,Current_cheese_location,Already_has_been,Maze,,,,,,,,MaxBenifits,n_benifit_point,n_current_benifits,n_weekly_hours,n_overtime_salary,,,,bIsTripleX,,,,,,,,,"Bool IsBalancePositive(int deserved, int used)",,GetBoard(),
,m_fileSize,dstFloor,srcFloor,delta,status,,,,,curLoc,visited,Matrix,,,,,,,,,timer,Board,,,,,,,,,BASE_RATE,Extra,,,,,"Bool isEnoughSpace(File f, unsigned int enlarge, unsigned int available)",,"int amount(int biscuits, int ic, int paper)",,"int getLevel(unsigned int width, unsigned int height, unsigned int bombs)",,,,,
long _fileSize,,,,,,,,,,,,,,,,,,,,,TimeSpan _elapsedTime,SquareInfo,,,,,,,,,,,CurrentBoardStatus,,,"bool CanFileBeEnlraged(string fileName, int sizeToEnlarge, int freeSpace)",,,"int CalculateAmountOfCasata(int numOfBiscuit, int amontOfMilk, int paperLength, int paperWidth)",,"int CalculateDifficulty(int boardRows, int boardCols, int numOfMines)",,,DisplayCurrentBoardStatus(),,
size,,,,,,,,,,currentLocation,roomsVisited,maze,,,,,,,elepsedTime,GameBoard,,,,,,,,,,,,,board,,,"addToFile(File file,int sizeToAdd,System system)",,,,"checkDifficulty(int boardSize, int numberOfMines)",,,,,,
,,request_floor,curr_floor,floors_diff,door_state,,,,,,,,,,,cheese_loc,trace_map,maze,,,curr_time,pannel,,,,,,,,,,,,curr_board,,,,,,,"int create_game (int width, int height, int num_mimes)",,,,draw_board(Board board),
,,target_floor,current_floor,diff,door,,,,,,,,,,,,,,,,turn,danger,,,,,,,,,,,,,,,,,"cassette(biscuits, icecream, wrap)",,"difficulty calculate_difficulty(size, mines)",,,,,
,fsize,,,,,,,,,,,,,,,,,,,,,,,,,max_benefits_per_month,benefit_value,cntBenefits,,,,,,cState,,,"is_realloc_ok(newsize,available)",,,,,,"def is_balance_positive (nBenefits_Month,nBenefits_Used): return nBenefit_Month-nBenefits_Used>0",,display_state(cState),
,file_size,,,,,target_floor,current_floor,floors_to_climb,is_open,,,,,,,cheese_position,passed_path,maze,,,,,,,,MAX_NUMBER_OF_BENEFITS,AMOUNT_NEEDED_FOR_BENEFIT,benefits_entitlement_current_month,,,,,,,,,"check_availability (File file_to_expand, int expansion_size, int free_space)","number_of_sandwiches (int number_of_biscuits, int cups_of_ice_cream, int wrapping_paper_in_square_meters)",,,,,"has_benefits(int benefits_entitlement, int benefits_used)",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,MAX_BENEFITS_PER_MONTH,ILS_PER_BENEFIT,current_month_benefits_count,FULL_TIME_WEEKLY_HOURS,overtime_rate,,,,currentBoardState,,,,,int numCasataPossible(Inventory inventory),,,,has_available_benefits,,displayBoard(Board board),
,fileSize,,,,,desiredFloor,currentFloor,floorDiff,doorState,dailyLocation,traversedLocations,totalLocations,,,,,,,,,,,,,,ACCUMULATION_MONTH_LIMIT,BENEFIT_RATE,curBalance,BASE_WEEKLY_HOURS,overtimeHourlyWage,,,,,,,"public boolean checkSpace(MyFile file, int requiredSpace,int freeDiskSpace)",,,,,,"public boolean isEligible (benefitsBalance,usedBenefits)",,,
Size,,,,,,,,,,,,,,,,,,,Time,Cell,,,,,,,,,,,,,,,,IsEnoughSpace,,CalcQuantity,,GetGameDiffucult,,,,,,
,,,,,,,,,,,,,,,,,,,,,Life_time,Matrix,Gift,Account,Current_gift,,,,,,,,,Matrix,,,,,"Int casatas_number(int biscuits, double vanilla, int paper)",,"Int rank(int a, int b, int m)","Boolean difference (int gifts, int used_gifts)",,,Char[][] display_matrix(),
fileSizeInKB_,,,,,,,,,,,,,,,,,,,,,elapsedTimeInSec,boardConfig,,,,MAX_MONTHLY_BENEFITS,BENEFIT_AMOUNT_ILS,currentMonthBenefits,,,,,,,,,,,,,"getDifficultyLevel(minesAmount, width, height)",,HasSufficientBenefits,,,
,,,,,,requested_pos,current_pos,delta_pos,door_open (boolean),,,,,,,maze.cheese_pos,mouse.track,maze,,,elapsed_time,mines_num,,,,,,,,,,,board,,,,,,"ice_cream_units(int biscuits_num, int ice_cream_cups, int wrapper_length, int wrapper_width)",,"int level(int area, int total_mines)",,,board.display(),,
size,,,,,,requestedFloor,currentFloor,deltaRequestVsCurrent,elevatorDoorState,,,,cheeseLocation,visitedTree,labyrinthTree,,,,,,,,maxNumOfBenefits,triggeringAmount,numOfBenefits,,,,maxWeeklyHours,hourlyOverTimeWage,,,,,,"public boolean canResizeFile(file, newFileSize, freeDiskSpace)",,,,,,"public boolean hasValidBenefits(int numOfBenefits, int consumedNumOfBenefits)",,,,
fileSize,,targetFloor,currentFloor,floorsToTravel,doorState,,,,,,,,,,,,,,,,,,,,,,,,FULL_TIME_WEEKLY_HOURS,FULL_TIME_HOURLY_OVERTIME_PAY,,,,BoardState,,"int checkFileExpansion(File* file, int expansionInBytes, int freeDiskSpace)",,,,,,,,,void displayBoard(),
size,,,,,,currentFloor,destinationFloor,floorDistance,"isOpened un cases that the state is Boolean, doorState otherwise",,,,,,,,,,,,,,maxMonthlyGifts,giftCost,giftsNum,,,,,,weeklyHoursQouta,extraHoursBonus,,,,hasSpace(space) - לשאלה מי הקובץ אין קשר לשאלה האם יש מקום והקובץ לא צריך להיות בחתימה. אם הקובץ מחוייב ניתן להוסיף את שמו,,,"integer max_kasatas(integer biscuits integer iceCream, intger papaer),",,,"bool can_use_gift(integer giftsWon, integer giftsUsed)",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Val,HoyrlyWage,,,,,GameState,,,,calculateCassateNum,,,,,,,displayGrid ()
,,,,,,,,,,current_place,VisitedRooms,Maze,,,,,,,,,,,,,,,,,BASE_SALARY_HOURS,OVERTIME_RATE,,,,GameState,,,,"calc_sandwich_num(biscuits, icecream_cups, wrap_paper)",,,,,,,show_board(),
fileSize,,,,,,,,,,,,,currentCheeseLocation,visitedLocations,Maze,,,,,,gameDuration,MinesweeperBoard,MAX_TREATS,MIN_SPENDING_FOR_TREAT,currentPeriodTreats,,,,,,,,,,,"boolean canEnlarge(File file, long freeSpace, long increase)",,,,,"Difficulty evalueDifficulty(int boardWidth, int boardHeight, int numMines)","boolean hasAvailableTreats(int gainedTreats, int usedTreats)",,,,
,size,,,,,new_floor,curren_floor,floors_to_move,is_opened,,,,curren_location,locations_tried,available_locations,,,,,,,,MAX_POINTS_FOR_MONTH,MONEY_NEEDED_FOR_POINT,current_points,,,,,,,,Board,,,,"can_increase_file(file, size_to_@dd, availabl_space)",,,,,"can_use_points(points_have, points_to_use)",,print_board(Board board),,
,,,,,,,,,,,,,,,,,,,,,GameTimer timer,GameSquareMinesInProximity :),,,,,,,,,,,TTTBoardState,,,,,,,,"public double getGameLevel (int boardWidth, int boardHeight, int numMiness)",,,"public void displayBoardState (TTTBoardState state, Player player)",,
,file_size,,,,,,,,,,,,current_cheese_location,"rooms_visited (room_name, is_visited)",labyrinth_structure,,,,,,,,,,,MAX_BENEFITS,BENEFIT_BREAK,current_benefits,HOURS_FULL_TIME,overtime_wage,,,,,,,"bool TestAvailableSpace(file, size)","int SandwichAmount(biscuits, vanilla, wrapPaper)",,,,,"CanUseBenefit(total_benefits, used_benefits)",,,
