StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4,Q5_1,Q5_2,Q17,Q27,Q18_5,Q29,Q33,Q156,Q35,Q40,Q41,Q42,Q52,Q49,Q50,Q51,Q53,Q82,Q83,Q160,Q94a,Q95a,Q159,Q94b,Q95b,Q96b,Q100,Q101,Q102,Q106,Q107,Q108,Q112,Q113,Q114,Q115,Q118,Q119,Q157,Q158,Q122,Q126,Q129,Q135,Q147,Q146,Q145,Q148,Q11,Q153,Q152,Q118 - Topics,Q31_2 - Topics
2018-05-21 13:41:41,2018-05-21 14:48:02,IP Address,,100,3981,True,2018-05-21 14:48:03,R_1d5YqOUJ8Fbv2Fo,,,,,,,anonymous,HE,זכר,30,,כן,דוקטורט ומעלה,1,,,Yes,revealing some place in the grid,"משלם עפ""י שכר לשעה וכמות השעות",כמות השעות,השכר לשעה,Imcome += hours * rate,,,,,,,,"Put x/o inside (row, col) in the grid",The place inside the grid bottom-up,The place inside the grid right-left,,,,,,,ממיינת את הקבצים בסדר אלפביתי,"הקבצים שרוצים למיין, מסוג מערך או כל מבנה נתונים אחר שמאגד הרבה אובייקטים מסוג קובץ","כלום ורק משנה את מבנה הנתונים, או שהיא מחזירה העתק של מבנה הנתונים אחרי המיון",,,,,Computes profit of selling the sandwiches,Number of sandwiches,The cost of producing them,The price paid for them,"Gets the current floor and the required floor, and moves the elevator accordingly","For each (0, FLOORS-1):    close_door()    go_up(1)    open_door()",,,,,,,"[3,7,9]",מגדילה/מקטינה תמונה בפקטור מסויים,width *= factor,Unknown,
2018-05-21 14:44:14,2018-05-21 15:03:49,IP Address,,100,1174,True,2018-05-21 15:03:49,R_1Imbycdc987sjYD,,,,,,,anonymous,HE,זכר,31,10,כן,דוקטורט ומעלה,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Picks the direction of the rotor and moves the elevator to the correct floor (how many floors up or down),Missing the following variables (list of pressed buttons and top floor) Sorted_pressed = sort(pressed_buttons)  While(sorted_pressed)  Call last function you wrote With pop(sorted_presses) and current_floor,,,Binary ,0/1,Current state of each player,0/1/2,,,,,
2018-05-21 15:00:14,2018-05-21 15:10:01,IP Address,,100,586,True,2018-05-21 15:10:01,R_1rqN7hKhDIsDSYY,,,,,,,anonymous,HE,זכר,31,13,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,,,,,"לדעתי הוא מחשב כמה לשלם לעובד ואחר כך משלם לו, כנראה ע""י זה שמפיל מסטיקים על ראשו.",כמה שעות עבד העובד.,מה הערך שכר השעתי הקבוע של העובד.,"def pay(hours, rate):     total_compensation = hours * rate     # Actually give the worker the money. We should also probably pass it to the function...",,,,,,,,"I'd guess it places the current player's symbol in the cell at (row, col) and switches the active player. make_turn sounds meh in English, maybe 'play_turn' or 'make_move'",The row in which the player placed his symbol.,The column in which the player placed his symbol.,,,,,,,,,,,,,,,,,,,,,,,,,,"תלוי בדוקומנטציה. אולי: [1, 2, 3, 4, 5, 6] (אם כי אז הייתי קורא לפונקציה concat).",הפונקציה משנה את התמונה כך שגודלה החדש יהיה גדול פי factor מגודלה הישן.,width *= factor,,
2018-05-21 14:57:44,2018-05-21 15:28:21,IP Address,,100,1836,True,2018-05-21 15:28:22,R_1oBhAcvnbap1JwX,,,,,,,anonymous,HE,זכר,27,6,כן,דוקטורט ומעלה,2,,,Yes,"מקבלת מיקום על הלוח, ומציגה למשתמש מה הערך של הריבוע",,,,,,,,,,,,,,,,,,,,,מיון של רשימת קבצים לפי סדר אלפבתי,רשימה / מערך של קבצים (אובייקטים של המחלקה),"רשימה / ממערך מאותו הסוג, רק ממויין","מחשב כמה ניתן להרוויח מלמכור כל יחידה במחיר הנתון, בהינתן שהיא עלתה cost נתון",כמה יחידות יש,כמה עולה להכין יחידה,בכמה מוכרים כל יחידה,,,,,"מחשב האם צריך לרדת או לעלות, ומעלה / מוריד את המעלית את מספר הקומות בהתאם",טענתם שזה 10 דקות... אין לי זמן וכוח לכתוב עכשיו קוד,,,תלוי שפה. בפייתון כנראה int,"0, 1",לציין מה בחר שחקן A ומה בחר שחקן B,"תלוי שפה. כנראה שבפייתון strings שרשום בהם ""rock"", ""paper"", ""scissors",,משנה את גודל התמונה פי factor,self.width *= factor,,
2018-05-21 15:47:44,2018-05-21 16:15:00,IP Address,,100,1635,True,2018-05-21 16:15:00,R_3m4fVDjGfzzDdSr,,,,,,,anonymous,HE,נקבה,27,3,כן,תואר ראשון,4,כן,"חושף על המסך את התוכן של mines_matrix[row,col]",,,,,,,מחשב את המשכורת שיש לשלם לעובד בעל תעריף rate עבור hours שעות עבודה,מספר שעות העבודה,אם הכוונה לrate אז התעריף השעתי ,return hours*rate,,,,"הוספת הסימן המתאים לשחקן בקואורדינטה row, col בהתאם לחוקים.",לציין באיזו שורה נמצאת הקוביה שבה רוצה השחקן לסמן איקס או עיגול,לציין באיזה טור נמצאת הקוביה שבה רוצה השחקן לסמן איקס או עיגול,,,,,,,,,,חישוב ההפרש בין cost לprice עבור units.,מספר יחידות הקסטה,עלות החומרים עבור יחידת קסטה אחת,ההכנסה עבור יחידת קסטה.,,,,,מעלה ומוריד את המעלית בהתאם למיקום המעלית הנוכחי והקומה המבוקשת,for floor in range(MAX_FLOOR)  go_up(1) open_door() close_door(),,,int,0/1,לציין מי השחקן הראשון ומי השני,int  0-2 ,"ככל הנראה [5,7,9]",מגדילה/מקטינה את התמונה בכפולות factor,im.width = value,,
2018-05-21 15:48:13,2018-05-21 16:18:27,IP Address,,100,1813,True,2018-05-21 16:18:27,R_2v0INqDPh1yVNt9,,,,,,,anonymous,HE,נקבה,30,5,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,כן,Expose the slot and see if it's a mine or not,,,,,,,,,,,Allocates x or o on the board,Which row to put the x/o on,Which column number to put the x/o on ,,,,,,,,,,למיין את הקבצים לפי שם,אובייקט מסוג קובץ,רשימה של אובייקטים מסוג קובץ,מחשב מה הרווח עבור כמות מסויימת של גלידות,כמה יחידות אפשר להפיק,כמה עולה להכין יחידה אחת של גלידה,בכמה מוכרים יחידה אחת של גלידה,,,,,,,"מחליט אם לעלות או לרדת, כמה קומות צריך, ואז מבצע את תזוזת המעלית בהתאם",,Same type as playerA/B,PlayerA or PlayerB,Provide to players to decide which player wins,Type - number or string. Possible values - unique identifier,"[1,2,3,4,5,6]",Chnges the sizeof the board (not the number of rows and coloumns),this.width = newWidth,,
2018-05-21 16:01:51,2018-05-21 16:52:40,IP Address,,100,3049,True,2018-05-21 16:52:41,R_3EYka49ZmnW93AZ,,,,,,,anonymous,HE,זכר,32,4,כן,תואר שני,2,,,,,,,,,transfers money to the employee.,define the the total number of hours the employee worked,"you meant rate, it defines how much money per work hour the employee gets",return hour*rate,,,,,,,to try and place a marker of the board for the player whose turn it is,row of the board,column of the board,sorts the files in files according to their name member value and returns the sorted list (or sorts in place),"pass the reference to the list, the type is a list&lt;file&gt;","list&lt;file&gt;, returns a list of the files in files ordered by name(list of references to the objects)",,,,,,,,return units*(price-cost),# of sandwiches sold,cost of the ingredients for a single sandwich,price for which a single sandwich is sold,,,goes up or down var3 floors,for i in range(TOTAL_FLOORS): 	go_up(1) 	open_door(True) 	open_door(False),boolean,"True, False",state of what hand each player played,"some representation of rock, paper scissor, should be an enum","[5,7,9]",resizes the image in both directions by the same factor,width/=factor,Unknown,
2018-05-21 16:42:20,2018-05-21 17:00:06,IP Address,,100,1066,True,2018-05-21 17:00:06,R_e9AaZJtoGRwmpnX,,,,,,,anonymous,HE,נקבה,26,4,כן,תואר שני,2,,,Yes,"expose the number of the square in row, col",,,,,Calculate the worker's wage,How many hours the worker worked,What is the rate per hour,return hours *rate,,,,,,,to place item in a specific place on the board,the number of the row on the board,the number of the col on the board,,,,to sort the files by their names,a list of the names of the files or the files theirselves,a sorted list,,,,,calculate the profit from selling units of sandwiches,the number of sandwiches,the cost of making a sandwich,the price of selling a sandwich,,,,,Player objects,"playerA, playerB",to name the players,Player object,"[5,7,9[",resize something by a factor,image.width.resize(factor),Unknown,
2018-05-21 13:31:12,2018-05-21 17:15:47,IP Address,,100,13474,True,2018-05-21 17:15:47,R_3HHwYMQu4eEP6zq,,,,,,,anonymous,HE,זכר,31,2,שנות ניסיון בתכנות (כולל צבא אם רלוונטי),,,כן,מציג למשתמש את המשבצת וחושף עוד תאים אם 0,,,,,,,pays an employee its salary,hours worked,hourly rate,worker.pay(hours * rate) ,,,,,,,,,,,,,למיין את הקבצים בתוך אובייקט הקלט,מערך או אובייקט שמכיל מערך שמחזיק קבצים,"כלום, משנה את הקלט.",,,,,units* (price-cost(,units sold,cost per unit,price per unit,goes up or down to the destination floor,for (int i=0; i&lt; kFloorCount; i++) isDoorOpened = NO goUp(1) isDoorOpened = YES,,,אובייקט שחקן,אחד מהקלטים,להכיל את מידע השחקן יחד עם המהלך שלו,"אובייט שחקן, בתוכם המידע על המהלך, למידע מהלך שלושה ערכים אפשריים.","[1,2,3,4,5,6]",משנה גודל של תמונה,width = factor * width,Unknown,
2018-05-21 17:58:48,2018-05-21 18:06:45,IP Address,,100,477,True,2018-05-21 18:06:46,R_1Iad1Y8oMqzUNlR,,,,,,,anonymous,HE,זכר,27,3,כן,תואר ראשון,3,,,Yes,Expose mines at that coordinate,,,,,,,,,Adds an x or a circle at that location.. shape is determend elsewhere ,Which row of the board to handle..,Which column to handle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5,7,9]",,,,
2018-05-21 17:41:11,2018-05-21 18:13:58,IP Address,,100,1967,True,2018-05-21 18:13:58,R_vYOxhNP8lD0NPYR,,,,,,,anonymous,HE,זכר,28,2,כן,תואר שני,1,,,Yes,מקבלת משבצת מסוימת וחושפת אותה לפי הכללים שתוארו לעיל,מחשב משכורת לפי שעות ומשכורת שעתית,כמה שעות עבודה,משכורת שעתית,return rate*hours,,,,,,,,,,,,,,sort files by their name as a key,the objects of files to sort. they are of type file. f,array of files,,,,,,,,,,,,,,"בהנתן מיקום נוכחי וקומת מטרה, מבצע את הנסיעה","DEFAULT_WAITING_TIME = 10 # secs  class Elevator(object):  def __init__(self, cur_pos=0 ):  self.cur_pos=cur_pos  Def go_to(self, goal, open_door=True, time_wait=DEFALUT_WAITING_TIME): // what stav implemented self.cur_pos=goal if self.open_door: open_door() time.sleep(door_waiting_time) close_door()  elevator = Elevator() for i in range(n): elevator.go_to(i) ",,,,,,מסדרת מחדש את המערך במימדים אחרים,img.width = factor.width,,
2018-05-21 18:10:59,2018-05-21 18:20:52,IP Address,,100,592,True,2018-05-21 18:20:52,R_2rl09guRbleWyjq,,,,,,,anonymous,HE,זכר,28,2,כן,תואר ראשון,4,,,,,מחשב תשלום לעובד לפי שכר וכמות שעות,סכום שעות העבודה של עובד,שכר שעתי של עובד,הגזמתם!,,,,,,,,,,,,,,,,,למיון הקבצים לפי סדר אנאלפבית ,"מחזיק את כל הקבצים, רשימה לצורך העניין",רשימה מעודכנת מאותו סוג של files,,,,,,,,,,,,,,,,,"[5,7,9]",,,,
2018-05-21 18:03:13,2018-05-21 18:31:46,IP Address,,100,1713,True,2018-05-21 18:31:47,R_262yqfLTX5EYCfE,,,,,,,anonymous,HE,נקבה,25,3,כן,תואר ראשון,3,,,,,,,,,,,,,,,,"Updates the status of the board according to the coordinates and checks for game over, changes that the turn",The row in which a new o/☓ is drawn,The col in which a new x/o is drawn,,,,,,,,,,,,,,,,,,,,מחליט את כיוון המעלית ובוחר אם לעלול או לרדת,For i in floornum: Open door ,Boolean,"True, false",מה כל אחד הוציא,"אבן נייר ומספרים (שמורים מראש כ0,1,2 )","[5,7,9 ]",,,,
2018-05-21 18:32:10,2018-05-21 18:36:21,IP Address,,100,251,True,2018-05-21 18:36:22,R_2OGSW9xOiJv7xC0,,,,,,,anonymous,HE,זכר,25,1,כן,תואר ראשון,2,כן,חושף משבצת מסוימת ,,,,,,,מחשב כמה כסף אמור העובד לקבל,כמה שעות העובד עבד,השכר השעתי שלו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,משנה את גודל החלון,,,
2018-05-21 18:12:53,2018-05-21 18:36:54,IP Address,,100,1441,True,2018-05-21 18:36:55,R_bqn9AgVMFOjuhR7,,,,,,,anonymous,HE,זכר,26,1,כן,תואר ראשון,3,,,Yes,"מציגה את התא בשורה והעמודה המתאימה, ומסיימת את המשחק אם מדובר במוקש",,,,,,,,,,,,,,,,,,,,,להצגת הקבצים למשתמש בסדר אלפבתי,להגדיר אילו קבצים צריך לסדר. הטיפוס הוא מערך או רשימה,מערך או רשימה שבה הקבצים ממויינים בסדר אלפביתי,מחזיר את הרווח הצפוי,כמה קסטות קיימות למכירה,כמה עולה לייצר קסטה יחידה,כמה עולה לצרכן לקנות את הקסטה,,,,,,,מביא את המעלית מקומה var2 לקומה var1,open_door() close_door() for target in range(num_floors - 1):     go_up(1)     open_door()     close_door(),בוליאני,"0, 1",לציין איזו צורה השחקן שיחק,"int: {0,1,2}","[5,7,9]",,,,
2018-05-21 18:16:41,2018-05-21 18:38:42,IP Address,,100,1321,True,2018-05-21 18:38:43,R_21BPobKP75cSoCZ,,,,,,,anonymous,HE,נקבה,26,10,כן,תואר שני,1,כן,reveal the data stored in the data structure to the player,,,,,,,,,,,,,,"For the current user, mark its symbol on the board in the given location",To specify the row in which we would like to mark X or O.,To specify the column in which we would like to mark X or O.,,,,sort the files according to filename (from a to z). I don't know if it causes change in the system or just return the list.,it is the data structure containing the files,I don't know if it causes change in the system and returns nothing or returns the sorted list of files (list of pointers to the file obect),,,,,,,,,,,,,,,,int,"returns playerA's id if playerA wins, playerB's id if playerB wins and some value for tie.",refer to data stored somewhere with information about current game,int or object of type player,"[5,7,9]",,,,
