Q4,Q5_1,Q5_2,Q17,Q27,Q18_5,Q29,Q33,Q156,Q35,Q40,Q41,Q42,Q52,Q49,Q50,Q53,Q82,Q83,Q160,Q94a,Q95a,Q159,Q94b,Q95b,Q96b,Q100,Q101-role,Q101-type,Q102,Q106,Q107-role,Q107-type,Q108,Q112,Q113,Q114,Q115,Q118,Q119,Q157,Q158,Q122,Q126,Q129,Q135,Q147,Q146,Q145,Q148-types,Q148-values,Q11,Q153,Q152,Q118 - Topics,Q31_2 - Topics
Male,30,,Yes,Doctorate or higher,1,,,Yes,Exposes a tile,Transfers funds given hours and rate,Number of work hours by an employee,An employee hourly wage,hours*rate,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort,List of files,Either sorted list of files or void (in-place sorting),,,,,Calculates profit of selling the sandwiches,Number of sold sandwiches,Price of producing all sandwiches ,Selling price per sandwich,Determines the direction of the elevator then travels to the requested floor,"i, floors",,,,,,,,"[3, 7, 9]",Resizes the image by factor,width *= factor,Unknown,
Male,31,10,Yes,Doctorate or higher,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,,,,Binary,"0, 1",Player selections (R/P/C),Integers,"0, 1, 2",,,,,
Male,31,13,No,,,,,,,Transfers funds given hours and rate,Number of work hours by an employee,An employee hourly wage,hours*rate,,,,Updates board with player's mark at given position,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1, 2, 3, 4, 5, 6]",Enlarges the image by factor,width *= factor,,
Male,27,6,Yes,Doctorate or higher,2,,,Yes,Exposes a tile,,,,,,,,,,,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",,List of files,Sorted copy of input,Calculates profit of selling the sandwiches,Number of sandwiches produced,Cost per unit,Selling price per sandwich,,,,,Determines the direction of the elevator then travels to the requested floor,,,,Integer,"0, 1",Player selections (R/P/C),Strings,"""Rock"", ""Paper"", ""Scissors""",,Enlarges the image by factor,width *= factor,,
Female,27,3,Yes,Bachelor's Degree,4,Yes,Exposes a tile,,,,,,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*cost,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,units*(price-cost),Number of sandwiches,Cost per unit,Selling price per sandwich,,,,,Determines the direction of the elevator then travels to the requested floor,"floor, max_floor",,,Integer,"0, 1",,Integer,"0, 1, 2","[5, 7, 9]",Resizes the image by factor,width = new_width,,
Female,30,5,No,,,Yes,Exposes a tile,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,"returns an ordered list of the files, ordered by name",,File object,Sorted list of files,Calculates profit of selling the sandwiches,Number of sandwiches produced,Cost per unit,Selling price per sandwich,,,,,,,Determines the direction of the elevator then travels to the requested floor,,Player object or enum,Reference to winner,Player objects,Number of string,Unique player identifier,"[1, 2, 3, 4, 5, 6]",,width = new_width,,
Male,32,4,Yes,Master's Degree,2,,,,,,,,,Transfers funds given hours and rate,Number of work hours by an employee,hours*rate,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,"returns an ordered list of the files, ordered lexicography by name",Pass reference to files,List of files,Ordered list of files,,,,,,,,,units*(price-cost),Number of sold sandwiches,Cost per unit,Selling price per sandwich,,,Determines the direction of the elevator then travels to the requested floor,"i, total_floors",Boolean,"True, false",Player selections (R/P/C),Enums,"Rock, Paper, Scissors (enum)","[5, 7, 9]",Resizes the image by factor in each dimension,width /= factor,Unknown,
Female,26,4,Yes,Master's Degree,2,,,Yes,Exposes a tile,,,,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,"returns an ordered list of the files, ordered by name",,List of files or file names,Sorted list of files,,,,,Calculates profit of selling the sandwiches,Number of sold sandwiches,Cost per unit,Selling price per sandwich,,,,,Player object,Reference to winner,Player names,Player objects,Player object,"[5, 7, 9]",Resizes something by factor,,Unknown,
Male,31,2,No,,,Yes,"Exposes a tile, exposes also adjacent tiles if empty",,,,,,,Transfers funds given hours and rate,Number of work hours by an employee,hours*rate,,,,,,,,,,,,,,"returns an ordered list of the files, ordered by name",,List of files,void (in-place sorting),,,,,units*(price-cost),Number of sold sandwiches,Cost per unit,Price per unit,Determines the direction of the elevator then travels to the requested floor,"i, k_floor_count",,,Player object,Reference to winner,Player objects,Player objects,Player object containing choice,"[1, 2, 3, 4, 5, 6]",Resizes the image,width *= factor,Unknown,
Male,27,3,Yes,Bachelor's Degree,3,,,Yes,Exposes a tile,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5, 7, 9]",,,,
Male,28,2,Yes,Master's Degree,1,,,Yes,Exposes a tile according to the game rules,Transfers funds given hours and rate,Number of work hours by an employee,An employee hourly wage,hours*rate,,,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort,Files,List of files,,,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,"i, n, default_waiting_time, cur_pos",,,,,,,Rearranges the array with different dimensions,width = new_width,,
Male,28,2,Yes,Bachelor's Degree,4,,,,,Transfers funds given hours and rate,Number of work hours by an employee,An employee hourly wage,,,,,,,,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",,List of files,Sorted copy of input,,,,,,,,,,,,,,,,,,"[5, 7, 9]",,,,
Female,25,3,Yes,Bachelor's Degree,3,,,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,"i, floor_num",Boolean,"True, false",Player selections (R/P/C),Integers,"0, 1, 2","[5, 7, 9]",,,,
Male,25,1,Yes,Bachelor's Degree,2,Yes,Exposes a tile,,,,,,,Returns amount to pay given hours and rate,Number of work hours by an employee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resizes the window,,,
Male,26,1,Yes,Bachelor's Degree,3,,,Yes,"Ends the game if there's a mine, otherwise exposes a tile",,,,,,,,,,,,,,,,,,,,,"show list of files, sorted lexicographically by name",Files to sort,List of files,Sorted list of files,Calculates profit of selling the sandwiches,Number of sandwiches produced,Cost per unit,Selling price per sandwich,,,,,,,Determines the direction of the elevator then travels to the requested floor,"target, num_floors",Boolean,"0, 1",Player selections (R/P/C),Integers,"0, 1, 2","[5, 7, 9]",,,,
Female,26,10,Yes,Master's Degree,1,Yes,Exposes a tile,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,"returns an ordered list of the files, ordered lexicography by name",,Files,Either sorted list of files or void (in-place sorting),,,,,,,,,,,,,,,,,Integer,Player ID or tie,,Integers or player objects,,"[5, 7, 9]",,,,
Male,25,2,Yes,Bachelor's Degree,2,,,,,Transfers funds given hours and rate,Number of work hours by an employee,An employee hourly wage,hours*rate,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort,List of files,Sorted list of files,,,,,,,,,,,,,,,,,String,"""Player A"", ""Player B""",Player selections (R/P/C),Integers,,"[5, 7, 9]",,,,
Male,28,4,Yes,Master's Degree,2,,,,,,,,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",,Reference to files,Numeric return code,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,"current, max_floor",Integer,"1, 2",Player selections (R/P/C),Integers,"1, 2, 3",,,Resize(width),,
Male,18,2,Yes,Bachelor's Degree,2,,,Yes,Expose a tile according to game rules,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort,List of files,Sorted copy of input,,,,,,,,,,,,,,,,,,,,,,"[5, 7, 9]",,,,
Female,31,5,Yes,,,Yes,Exposes a tile,,,Transfers funds given hours and rate,Number of work hours by an employee,An employee hourly wage,hours*rate,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,"returns an ordered list of the files, ordered lexicography ascending by name",,List of files,Sorted list of files,,,,,,,,,Calculates profit of selling the sandwiches,Number of sold sandwiches,Cost per unit,Price per unit,,,Determines the direction of the elevator then travels to the requested floor,"curr_floor, top_floor",Integer,"-1, 0, 1",Player selections (R/P/C),Enums,"Rock, Paper, Scissors (enum)","[5, 7, 9]",Resizes the image by factor,width *= factor,Unknown,
Male,30,4,No,,,,,,,Transfers funds given hours and rate,Number of work hours by an employee,An employee hourly wage,hours*rate,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,Calculates profit of selling the sandwiches,Number of sold sandwiches,Cost per unit,Price per unit,,,Determines the direction of the elevator then travels to the requested floor,,Boolean,"0, 1",Player selections (R/P/C),Enums,"Rock, Paper, Scissors (enum)","[6, 15]",,,Unknown,
Female,30,4,No,,,,,Yes,Exposes a tile,Transfers funds given hours and rate,Number of work hours by an employee,An employee hourly wage,hours*rate,,,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort,List of files,Sorted list of files,,,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,current_story,,,,,,,Resizes the image by factor,width *= factor,,
Male,32,10,Yes,Master's Degree,4,,,Yes,Exposes a tile without win/lose logic,,,,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,,,,,,,,,,Sorts in-place,Files to sort,Array,void,,,,,,,,,,,,,,,,,,,,,,,Resizes the image by factor,width *= factor,,
Male,27,3,No,,,,,,,,,,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,,,,,,,,,,,,,,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,"i, max_level",,,Boolean,"True, false",Player selections (R/P/C),,"Rock, Paper, Scissors (unspecified type)","[5, 7, 9]",Resizes the image by factor,width *= factor,,
Male,30,8,Yes,Bachelor's Degree,1,Yes,Exposes a tile,,,Returns amount to pay given hours and rate,Number of work hours by an employee,An employee hourly wage,hours*rate,,,,,,,,,,,,,,,,,,,,,Calculates profit of selling the sandwiches,Number of sold sandwiches,Cost per unit,Selling price per sandwich,,,,,,,,,,,,,,,Enlarges the image by factor,width *= factor,,
Male,32,8,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Array,void,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,"i, n",Enum,"PlayerA, PlayerB, Tie (enum)",Player selections (R/P/C),Enums,"Rock, Paper, Scissors (enum)",,Resizes the image by factor,width *= factor,,
Male,23,6,Yes,Bachelor's Degree,4,Yes,Exposes a tile,,,,,,,,,,,,,,,,,,,,,,,"returns an ordered list of the files, ordered by name",,Files,Sorted list of files,,,,,,,,,,,,,Boolean,"True, false",Player selections (R/P/C),Enums,,"[5, 7, 9]",Changes the image's factor,Resize(width),,
Female,27,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,"floor, end",Player object,Reference to winner,,Player objects,Player object,"[5, 7, 9]",Resizes the image by factor,,,
Male,25,5,Yes,Master's Degree,2,,,Yes,"Returns the new grid, with cells exposed or all mines blown",,,,,,,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Input files,List of files,Sorted list of files,,,,,Calculates profit of selling the sandwiches,Amount of each ingredient,Cost per unit,Selling price per sandwich,,,,,,,,,Integer,"1=A, 2=B, 0=Tie",Player selections (R/P/C),Player objects,Player object containing choice,,Resizes the image by factor in each dimesion,width *= factor,,
Male,29,7,No,,,,,,,,,,,Transfers funds given hours and rate,Number of work hours by an employee,hours*rate,,,,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography ascending by name",Files to sort,List of files,Either sorted list of files or void (in-place sorting),,,,,,,,,,,,,Integer,"-1, 0, 1",,,,,Resizes the image area by factor,width *= sqrt(factor),,
Male,31,13,No,,,,,Yes,Exposes a tile,,,,,Transfers funds given hours and rate,Number of work hours by an employee since last paid,hours*rate,,,,,,,,,,,,,,"returns an ordered list of the files, ordered by name",,List of files,Sorted list of files,,,,,units*(price-cost),Number of sold sandwiches,Cost per unit,Price per unit,,,,,,,,,,"[1, 2, 3, 4, 5, 6]",,,Unknown,
Male,28,11,Yes,Master's Degree,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MatchResult object,MatchResult containing winner or tie,Player selections (R/P/C),Player objects,Player object containing choice,"[1, 2, 3, 4, 5, 6]",,,,
Male,32,10,No,,,,,,,Returns amount to pay given hours and rate,Number of work hours by an employee,An employee hourly wage,hours*rate,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,,,,,,Player object,Reference to winner,Player objects,Player objects,Player object containing choice,,Resizes the image by factor,width *= factor,,
Male,26,,Yes,Bachelor's Degree,2,,,,,,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,"returns an ordered list of the files, ordered by name",,List of files,Sorted copy of input,,,,,units*(price-cost),Number of sold sandwiches,Cost per unit,Price per unit,,,,,,,,,,"[5, 7, 9]",,,Unknown,
Female,30,7,No,,,Yes,Exposes a tile,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,"floor_idx, N",,,,,,,,,,
Female,27,2,No,,,,,,,Returns amount to pay given hours and rate,Number of work hours by an employee,An employee hourly wage,hours*rate,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",,Files,Sorted copy or reference to input,,,,,Calculates profit of selling the sandwiches,Number of sold sandwiches,Cost per unit,Price per unit,,,,,,,,,,"[5, 7, 9]",,,Unknown,
Female,26,7,No,,,Yes,Exposes a tile,,,"Method of ""Employee"" class to transfer funds given hours and rate",Number of work hours by an employee,An employee hourly wage,hours*rate,,,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort,List of files,Sorted list of files,,,,,,,,,,,,,,,,,Enum,"PlayerA, PlayerB, Tie (enum)",Player selections (R/P/C),,"Rock, Paper, Scissors (unspecified type)","[5, 7, 9]",,,,
Female,27,2,No,,,,,,,,,,,Returns amount to pay given hours and rate,,hours*rate,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5, 7, 9]",Enlarges the image by factor,width *= factor,,
Male,31,13,Yes,Master's Degree,3,Yes,Exposes a tile,,,Returns amount to pay given hours and rate,Number of work hours by an employee,An employee hourly wage,hours*rate,,,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography ascending by name",,List of strings,void (in-place sorting),,,,,Calculates profit of selling the sandwiches,Number of sandwiches,Cost per unit,Selling price per sandwich,,,,,,,Determines the direction of the elevator,"i, last floor",,,,,,,,,,
Male,34,11,No,,,Yes,Exposes a tile,,,,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,"returns an ordered list of the files, ordered lexicography by name",,List of file names,Sorted list of file names,Calculates profit of selling the sandwiches,Number of sold sandwiches,Price of producing all sandwiches ,Selling price per sandwich,,,,,,,,,,,,,,"[5, 7, 9]",,,,
Male,26,7,Yes,Bachelor's Degree,2,,,Yes,,,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,"returns an ordered list of the files, ordered by name",,List of file types,Sorted list of files,,,,,,,,,,,,,Integer,"1, 2",,Integer,1...Number of players,"[1, 2, 3, 4, 5, 6]",,,,
Male,32,10,Yes,Doctorate or higher,1,Yes,Exposes a tile,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,"i, max_floor",Enum,"-1, 0, 1",Player selections (R/P/C),Enums,"Rock, Paper, Scissors (enum)",,Resizes the image by factor,width *= factor,,
Male,24,7,Yes,Master's Degree,2,Yes,"Ends the game if there's a mine, otherwise exposes a tile",,,,,,,,,,,,,,,,,,,,,,,,,,,Calculates profit of selling the sandwiches,Number of sold sandwiches,Cost per unit,Selling price per sandwich,,,,,,,Determines the direction of the elevator then travels to the requested floor,"i, top_floor",Player object,Reference to winner,Player selections (R/P/C),,"Rock, Paper, Scissors (unspecified type)","[5, 7, 9]",Resizes the image by factor,width *= factor,,
Male,33,19,Yes,Doctorate or higher,3,,,Yes,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Input files,List of files,Sorted copy of input,,,,,,,,,,,,,,,,,Boolean,"True, false",,Integer,"0, 1, 2",,Enlarges the image by factor,width *= factor,,
Male,26,6,Yes,Master's Degree,2,,,,,,,,,,,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort,List of files,List of files,,,,,,,,,units*(price-cost),Number of sold sandwiches,Cost per unit,Selling price per sandwich,Determines the direction of the elevator then travels to the requested floor,"current_floor, top_floor",,,,,,,,"[5, 7, 9]",,,Unknown,
Male,28,9,No,,,,,,,,,,,Returns amount to pay given hours and rate,Number of work hours in a payment period by an employee,hours*rate,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,Calculates profit of selling the sandwiches,Number of sandwiches produced,Cost per unit,Selling price per sandwich,,,,,,,,,Enum,"PlayerA, PlayerB (enum)",Represent players,Player objects,Player object,"[1, 2, 3, 4, 5, 6]",,,,
Female,30,6,No,,,,,,,,,,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort,List of files,Sorted list,,,,,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,"cur_floor, max_floors",,,Integer,"-1, 0, 1",Player selections (R/P/C),Enums,"Rock, Paper, Scissors (enum)",,,,,
Male,25,5,No,,,,,Yes,Returns the number of mines,,,,,,,,,,,,,,,,,,,,,"returns an ordered list of the files, ordered by name",,List of files,Sorted list of files,,,,,,,,,,,,,Number,"-1, 0, 1",,,Winner player object or null,21,Resizes the image,width = new_width,,
Female,24,5,No,,,Yes,Exposes a tile,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,,,,,,,Returns total cost given unit cost,Number of sandwiches,Cost per unit,Toal selling price,,,,,,,,,,,,,,,,,,
Male,33,9,No,,,Yes,Exposes a tile and returns its value,,,,,,,,,,,,,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography ascending by name",,List of objects,List of objects,,,,,,,,,,,,,,,,,,"[5, 7, 9]",Resizes the image by factor,width *= factor,,
Male,45,28,No,,,Yes,"Ends the game if there's a mine, otherwise exposes a tile",,,,,,,,,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,,,,,,units*(price-cost),Number of sold sandwiches,Cost per unit,Selling price per sandwich,,,,,Determines the direction of the elevator then travels to the requested floor,"i, max_floors, current_pos",,,,,,,,"[5, 7, 9]",,,,
Male,32,4,No,,,,,,,,,,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,,,,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort,Array,Sorted list,,,,,,,,,Determines the direction of the elevator then travels to the requested floor,"current_floor, request_floor",,,Boolean,"True, false",Player selections (R/P/C),,"Rock, Paper, Scissors (unspecified type)",,,,,
