Q183_1,Q49,Q50,Q51,Q53,Q82,Q83,Q160,Q94a,Q95a,Q159,Q100,Q101,Q102,Q118,Q119,Q157,Q158,Q122,Q126
2,Gives the total wage of an employee based on the hourly rate and number of hours worked,Total number of hours worked,Hourly rate,return hours*rate,,,,,,,sort files by name,list of files,sorted list of files,,,,,Move the elevator to the selected floor,
5,"It calculates the salary of the employee, credited for the actual hours worked by him/her.",The hours denotes the actual working hours of the employee.,The rate denotes the fixed hourly wage value of the employee.,"double pay (double hours, double rate)
{
    return hours * rate;
}",,,,,,,,,,"Calculates the total profit generated by producing ""units"" number of units at ""cost"" investment/unit and ""price"" selling price/unit.

Expected return value: units*(price-cost)",Denoted the number of units produced.,Denotes the cost per unit.,Denotes the selling price per unit.,Determines the number of floors the lift has to go up or go down.,"int max_floor= 10;
bool is_dest[max_floor];    //to note whether the floor is the destination for one trip of the lift
int open_time;  //time till the door remains open

for (int i=0; i<=max_floor; i++)
    is_dest[i]= false;
    
int i= curr_floor;

while (i<=max_floor)
{
    if (is_dest[i])
    {
        open_door(open_time);
        is_dest[i]= false;
        break;
    }
    
    for (; i<=max_floor, i++)   //works for any floor which is the destination
    {
        if (is_dest[i])
            break;
    }
    
}"
28,none,none,none,none,,,,none,none,none,,,,,,,,n,"none
"
,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
20,determines how much each worker should be paid,indicates how many hours the worker worked,indicates how much money the worker earns per hour,return hours * rate;,,,,it places the X or O on a specific tile,indicates which horizontal row the player has selected,indicates which vertical column the player has selected,"returns a list of the files, sorted alphabetically by file name",the parameter is the unordered list of files. it's an array of file objects,it returns an ordered array of the file objects,determines how much money Ori will make,indicates how many ice cream sandwiches Ori sold,indicates how much Ori spent on the materials for each sandwich,indicates how much Ori sold each sandwich for,,
2,Calculate the pay wages,Pay depends upon the number of hours,Cost per hour,"pay (hours, rate)

",,,,,,,arrange the files in alphabetical order,Take the file name. string,files,,,,,Movement of Elevator,"for i in floors:
open()
close()
"
1,,,,,,,,,,,,,,,,,,,
25,Calculate the worker's pay for a given number of hours at a given rate,Number of hours the worker would be paid for,Worker's hourly pay rate,"Decimal pay(Decimal hours, Decimal rate)
hours, rate => hours * rate",,,,,,,Unclear without more context. Maybe it builds a dictionary or tree of the files (but then it should be called buildDictionary- or buildTree-). Maybe it sorts them by name alphabetically (but then it should be called sort-).,files should be an array of file objects,No idea without more information,,,,,Send the elevator from the current floor to the desired floor,"while currentFloor < MAX_FLOOR:
  closeDoor()
  goUp( 1 )
  openDoor()"
3,,,,,Mark the cell.,Row in the board,Column in the board.,,,,Sorts the files by alphabetic order.,It is a list of files,Sorted order of files,,,,,Determines whether to go up or down.,
2,,,,,,,,,,,,,,,,,,,
,Calculates pay based on wages and hours worked,Shows how much to multiply the rate by,Shows how much to pay for each hour,"def pay(hours, rate):
    return hours*rate","Places an X/O in the box with co-ordinates (row, col)",Defines which row to play on,Defines which column to play on,,,,,,,"Takes the units sold, multiplies them by price and cost, and subtracts units*cost from units*price",How many ice cream sandwiches were sold,How much it costs to make 1 ice cream sandwich,How much 1 ice cream sandwich sells for,,
100,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,arranges files by name,"it sends the files directory, it is a dictionary",sorted dictionary,returns the profit based on the three values,amount of oreos returned,cost per oreo,selling price per oreo,Sends the perons up or down by the difference,"for i in range(1,top):
     door_status=true
     passenger(release)
     door_status=false
"
,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,"Calcs profits based on number of units produced, their cost to produce and the proce charged per unit.",Number of units produced,Cost per unit produced,Price charged per unit,,
2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Arrange files by name(ascending) on the display,Role is as a helper function,Returns a array of sorted file objects,,,,,It takes present floor and destination floor and moves lift to destination floor,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2,takes hours and rate as input and calculate the wage of a worker,no of hours a worker has worked,rate of employment,"amount = hours*rate
return amount",,,,,,,,,,,,,,,
6,,,,,,,,It checks for the possible patterns of win by constantly checking for horizontal (rows) vertically (column) and diagonally (step pattern in both parameters),If any row has all O or all X it should declare that variable the winner. Also if a row has 2 X with one blank or two O with one blank it may also warn the other player of a possible loss. It also checks for,Same thing as row just in columns,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,"Depending upon the values of var1 and var2, the elevator goes either up or down.","While (not last floor){
go_up(1);
Open();
Close();
}"
,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
