Q183_1,Q156,Q49,Q50,Q53,Q82,Q83,Q160,Q94a,Q95a,Q159,Q100,Q101,Q102,Q118,Q119,Q157,Q158,Q122,Q126
6,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort List of files,List of files,units*(price-cost),Number of sold sandwiches,Cost per unit,Selling price per sandwich,Determines the direction of the elevator then travels to the requested floor,"current_floor, top_floor"
6,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort List of files,Sorted list,,,,,Determines the direction of the elevator then travels to the requested floor,"cur_floor, max_floors"
6,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,, ,,Calculates profit of selling the sandwiches,Number of sold sandwiches,Not clear if it is unit or total cost,Price per unit,,
6,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,, ,,,,,,,
6,,,,,,,,,,,, ,,,,,,Determines the direction of the elevator then travels to the requested floor,"current_floor, max_floor"
6,,,,,Change position to given position,Row's index to be updated,Column's index to be updated,,,,, ,,,,,,,
6,,,,,,,,,,,, ,,,,,,,
6,,,,,,,,,,,, ,,,,,,Determines the direction of the elevator then travels to the requested floor,current_floor
6,Yes,,,,,,,,,,, ,,,,,,,
6,Yes,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,, ,,,,,,Determines the direction of the elevator then travels to the requested floor,"i, levels"
6,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name", List of files,"Sorted reference to input object, or void",,,,,Determines the direction of the elevator then travels to the requested floor,"current_floor, top_floor"
5,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,, ,,,,,,,
5,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography ascending by name", List of files,Sorted list of files,Calculates profit of selling the sandwiches,Number of sold sandwiches,Cost per unit,Price per unit,,
5,Yes,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Input files List of files,Sorted list of files,,,,,,
5,Yes,,,,,,,,,,, ,,,,,,,
5,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,, ,,,,,,,
5,,,,,,,,,,,, ,,,,,,,
5,Yes,,,,,,,,,,, ,,,,,,,
5,Yes,,,,,,,,,,, ,,,,,,Determines the direction of the elevator then travels to the requested floor,"floor, floors"
5,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort Array,Sorted list of files,,,,,,
5,,,,,,,,,,,, ,,,,,,,
5,,,,,,,,,,,, ,,,,,,,
5,Yes,,,,,,,,,,, ,,Calculates profit of selling the sandwiches,Number of sold sandwiches,Cost per unit,Selling price per sandwich,,
5,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort List of files,Sorted list of files,,,,,,
5,,,,,,,,,,,, ,,,,,,Determines the direction of the elevator then travels to the requested floor,"i, floors"
5,,Transfers funds to all employees given hours and rate,Number of work hours by an employee,,,,,,,,, ,,,,,,,
5,,,,,,,,,,,, ,,,,,,Determines the direction of the elevator then travels to the requested floor,
4,,Transfers funds given hours and rate,Number of work hours by an employee,hours*rate,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Pass reference to files List of files,Ordered list of files,units*(price-cost),Number of sold sandwiches,Cost per unit,Selling price per sandwich,,
4,Yes,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,,,,,,,, ,,Calculates profit of selling the sandwiches,Number of sold sandwiches,Cost per unit,Selling price per sandwich,,
4,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,, ,,,,,,,
4,,,,,,,,,,,, ,,Calculates profit of selling the sandwiches,Number of sold sandwiches,Cost per unit,Price per unit,,
4,Yes,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort List of files,Sorted list of files,,,,,,
4,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,,,,,,,, ,,,,,,Determines the direction of the elevator then travels to the requested floor,"current_floor, request_floor"
4,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name", List of files,void (in-place sorting),,,,,Determines the direction of the elevator then travels to the requested floor,
4,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,, ,,Calculates profit of selling the sandwiches,Number of sold sandwiches,Cost per unit,Selling price per sandwich,,
4,,,,,,,,,,,, ,,units*(price-cost),Number of sold sandwiches,Cost per unit,Price per unit,,
4,,,,,,,,,,,, ,,,,,,,
4,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,"returns an ordered list of the files, ordered lexicography by name", List of files,"True if succeeded sorting, false otherwise",,,,,,
4,,,,,,,,,,,, ,,,,,,,
4,,,,,,,,,,,, ,,,,,,,
4,Yes,,,,,,,,,,, ,,,,,,,
4,Yes,,,,,,,,,,, ,,,,,,,
4,Yes,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,, ,,,,,,,
4,Yes,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,, ,,Calculates profit of selling the sandwiches,Number of sold sandwiches,Cost per unit,Selling price per sandwich,,
4,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,, ,,,,,,,
4,Yes,,,,,,,,,,, ,,,,,,,
4,,,,,,,,,,,, ,,,,,,,
4,,Returns amount to pay given hours and rate,Number of work hours by an employee,,,,,,,,, ,,price-cost,,,Selling price per sandwich,,
4,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,, ,,,,,,,
4,Yes,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,,,,,,,, ,,Calculates profit of selling the sandwiches,Number of sold sandwiches,Cost per unit,Selling price per sandwich,,
29,Yes,,,,,,,Initializes the cell for user input,Row's index to be updated,Column's index to be updated,, ,,,,,,,
28,,,,,,,,,,,, ,,,,,,Determines the direction of the elevator then travels to the requested floor,"i, max_floors, current_pos"
27,No,,,,,,,,,,, ,,,,,,Determines the direction of the elevator then travels to the requested floor,
25,,,,,,,,,,,, ,,,,,,Operates an elevator,"i, n"
25,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography by name", List of files (in-place),void,,,,,Determines the direction of the elevator then travels to the requested floor,
25,Yes,,,,,,,,,,, ,,,,,,,
25,,,,,Updates board with player's mark at given position,,,,,,, ,,units*(price-cost),,,,,
19,Yes,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,"returns an ordered list of the files, ordered lexicography by name",Input files List of files,Sorted copy of input,,,,,,
19,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,, ,,,,,,,
19,,,,,,,,,,,, ,,,,,,,
17,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,, ,,,,,,Determines the direction of the elevator then travels to the requested floor,"i, num_floors"
16,,,,,,,,,,,, ,,,,,,,
15,Yes,,,,,,,,,,, ,,,,,,,
15,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,"returns an ordered list of the files, ordered lexicography by name",Files to sort List of files,Sorted list,,,,,,
14,,,,,,,,,,,, ,,,,,,,
13,,,,,Updates board with player's mark at given position,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,, ,,,,,,,
13,Yes,Transfers funds given hours and rate,Number of work hours by an employee since last paid,hours*rate,,,,,,,, ,,units*(price-cost),Number of sold sandwiches,Cost per unit,Price per unit,,
13,,,,,,,,,,,"returns an ordered list of the files, ordered lexicography ascending by name", List of strings,void (in-place sorting),,,,,,
13,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,, ,,,,,,,
13,,,,,,,,,,,, ,,,,,,,
13,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,, ,,,,,,,
12,Yes,Transfers funds given hours and rate,Number of work hours in a month by an employee,hours*rate,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,, ,,units*(price-cost),Number of sold sandwiches,Cost per unit,Selling price per sandwich,Determines the direction of the elevator,"floor, floors"
12,,Transfers funds given hours and rate,,,,,,,,,, ,,,,,,,
12,,,,,,,,"Checks board state at given position, updates with player's mark and checks if won/lost",Row's index to be updated,Column's index to be updated,"returns an ordered list of the files, ordered lexicography by name", List of files,Sorted list of files,,,,,,
12,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,, ,,units*(price-cost),Number of sold sandwiches,Cost per unit,Price per unit,,
11,,,,,,,,,,,, ,,,,,,,
11,,,,,,,,,,,, ,,,,,,,
11,Yes,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,, ,,,,,,,
11,,Transfers funds given hours and rate,Number of work hours by an employee,return hours*rate,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,, ,,,,,,,
10,,,,,,,,,,,, ,,,,,,Determines the direction of the elevator then travels to the requested floor,
10,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,"returns an ordered list of the files, ordered lexicography by name", Files,Either sorted list of files or void (in-place sorting),,,,,,
10,Yes,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,,,,,,,Sorts in-place,Files to sort Array,void,,,,,,
10,,,,,,,,,,,, ,,,,,,,
10,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,, ,,,,,,,
10,,,,,,,,,,,, ,,,,,,,
10,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,,,,"Unclear, maybe requesting user input",Row's index to be updated,Column's index to be updated,, ,,,,,,Determines the direction of the elevator then travels to the requested floor,"start_floor, end_floor"
10,,,,,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,, ,,,,,,,
10,,Returns amount to pay given hours and rate,Number of work hours by an employee,hours*rate,,,,,,,, ,,,,,,,
10,Yes,,,,,,,,,,, ,,,,,,Determines the direction of the elevator,
10,,,,,,,,,,,, ,,,,,,,
10,Yes,,,,Updates board with player's mark at given position,Row's index to be updated,Column's index to be updated,,,,, ,,,,,,,
10,Yes,,,,,,,,,,, ,,,,,,Determines the direction of the elevator then travels to the requested floor,top_floor
10,,Transfers funds given hours and rate,Number of work hours by an employee,,,,,,,,, ,,,,,,,
