Q54,Q55,Q61,Q62,Q63,Q79,Q80,Q81a,Q81b,Q93,Q99,Q123,Q124,Q125,Q127,Q136,Q137,Q138,Q84,Q96a,Q103,Q117,Q139
BASE_RATE,hourly_rate,,,,,,,,,_size,,,,,,,,,,increaseFileSize(file),"min(biscuits//2, floor(vanilla/0.5), (wrapping_paper_height//20) * (wrapping_paper_width//10))",
required_work_hours,overtime_rate,cheese_loc,visited_locs,maze,,,,,,,,,,,max_benefits,shekel_per_benefit,entitled_benefits_per_month,,,,"calculate_num_of_sandwiches(biscuit, ice_cream, paper)","can_use_benefit(entitled_benefits_per_month, used_benefits)"
,,,,,,,,,,,,,,,,,,,,,"HowManySandiwichesFromIngredients(biacuitsNum, IceCreamCups, PaperArea)",
,,,,,,,,,,_size,,,,,MAX_BENEFITS_PER_MONTH,BILLED_AMOUNT_FOR_BENEFIT,_currentNumOfBenefits,,,"hasEnoughSpaceToIncrease(File file, Number increasBy)",,"CanUseABenefit(currentNumOfBenefits, currentNumOfBenefitsUsed)"
maxWeeklyHours,hourlyOverTimeWage,,,,cheeseLocation,visitedTree,labyrinthTree,,,,requestedFloor,currentFloor,deltaRequestVsCurrent,elevatorDoorState,,,,,,,,
,,,,,curren_location,locations_tried,available_locations,,,size,new_floor,curren_floor,floors_to_move,is_opened,,,,,,"can_increase_file(file, size_to_@dd, availabl_space)",,
,,cheese_posion,visited,maze,,,,,game_screen,,,,,,,,,,display_game(game_screen),,"how_many_sandwiches(biscuits,cups of ice cream, higth paper, wigth paper)",
,,,,,,,,,,,,,,,MAX_NUMBER_OF_BENEFITS,expense,nBenefitsEntitled,,,,"int HowMuchIcecreamCanIMake(float nBiscuits, float nOfCups, float area)",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,cheeseLoc,cheeseLocPast,labyrinth,boardState,,size,,,,,benefitsLimit,LowBoundILS,numOfBenefitsAllowed,boardDisplay(list boardMat),,"canIncreasw(file f,int space)",,canUseBenefit(user u)
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,cheeseLocation,visited,maze,,,,,,,,,,,,,,,,,,
,,,,,,,,Board,,,,,,,,,,Print_board,,,,
,,,,,,,,game_state,,,,,,,,,,display_noard(board),,,how_many_can_make(),
weeklyHours,OVERTIME_PAY,,,,,,,,state,,,,,,MAX_BENEFITS,ONE_BENEFIT,numBenefits,,printState,,,"calcBenefits(entitled, used)"
,,,,,,,,,,,,,,,,,,,,,,
,,,,,CurrentCheeseLocation,LocationsVisited,labyrinth,,,,,,,,,,,,,,,
MIN_HOUR,OVER_WAGE,,,,,,,,,,,,,,MAX_BENEFITS,MIN_SHEKELS,cur_benefits,,,,Num_able,have_remain
,,,,,,,,,,,,,,,MaxNumOfBenefits,ValueOfBenefit,NumofBenefits,,,,,"Boolean CheckHaveBenefits (int entitledbenefits, int usedBenefits)"
,,,,,,,,boardState,,,,,,,,,,public void displayBoard(self),,,,
Basic_time,Over_pay,,,,,,,,,,,,,,,,,,,,"(Public int quantity( int chocko, int vanilla,int paper",
,,,,,,,,,game,,,,,,,,,,void DrawGrid(),,,
,,,,,,,,,,,requested_pos,current_pos,delta_pos,door_open (boolean),,,,,,,,
,,,,,cheese_location,areas_already_visited,labyrinth_areas_graph,,,,destination_floor,curr_floor,num_floors_to_move,door_state,,,,,,,,
,,,,,,,,,,,currentFloor,destinationFloor,floorDistance,"isOpened un cases that the state is Boolean, doorState otherwise",,,,,,,,
,,,,,,,,,,m_nSize,nDstfloor,nCurrentFloor,nNumOfFloorsToMove / nDeltaFloor,bIsDoorOpen,,,,,,"No need for such function. The function does not need the file argument. If we insist then: CanFileBeEnlarged(cFile, nAdditionalFileSize, nAvailableDiskSpace)",,
,,CurrentCheeseLocation,MouseVisitedLocations,Universe,,,,,,,,,,,,,,,,,,
,,,,,,,,current_state,,,,,,,,,,plot (current_state),,,"def how_many_sandwitches(b, v, p)",
,,,,,,,,cState,,fsize,,,,,max_benefits_per_month,benefit_value,cntBenefits,display_state(cState),,"is_realloc_ok(newsize,available)",,"def is_balance_positive (nBenefits_Month,nBenefits_Used): return nBenefit_Month-nBenefits_Used&gt;0"
FULL_TIME_WEEKLY_HOURS,FULL_TIME_HOURLY_OVERTIME_PAY,,,,,,,BoardState,,,,,,,,,,void displayBoard(),,,,
,,,,,currentCheeseLocation,visitedLocations,Maze,,,,,,,,,,,,,,,
,,,,,,,,,grid,,destinationFloor,currentFloor,numberOfFloors,isDoorClosed,,,,,()grid.draw,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,MAX_BENEFITS_PER_MONTH,ILS_PER_BENEFIT,currentBenefitsEntitlement,,,,,"bool canUseBenefit(int currentBenefitsEntitlement, int currentBenefitsUsed);"
,,,,,,,,MBoard,,MfileSize,,,,,,,,DisplayBoard(step),,"CheckFileIncrease(file,newSize,spacer)",,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,game_state,,,,,,,,,,draw_state(game_state),,,
FULLTIME_WEEKLY_WORK_HOURS,overtimeHourlyWage,,,,,,,,,,,,,,MAX_MONTHLY_BENEFITS,BENEFIT_THRESHOLD,numBenefitsForMonth,,,,"int calculatePotentialSandwiches(int numBiscuits, float numVanillaCups, long paperLengthCm, long paperWidthCm)","bool clientHasBalance(Client client, int numBenefitsForMonth, int numUsedBenefits)"
,,curLoc,visited,Matrix,,,,,,m_fileSize,,,,,,,,,,"Bool isEnoughSpace(File f, unsigned int enlarge, unsigned int available)",,
,,,,,cur_cheese_loc,visited_rooms,labyrinth,,current_board_status,,,,,,max_benefits,benefit_entitlement,accumulated_benefits,,"display_board(current_board_status, turn)",,,"use_benefit(accumulated_benefits, used_benefits)"
,,,,,,,,,,,,,,,,,,,,,,
,,curCheeseLocation,visitedLocations,mazeDescriptor,,,,gameBoard,,,,,,,,,,displayBoard(gameBoard),,,,
STANDARD_PAY_HOURS,overtime_rate,,,,Current_cheese_location,visited,maze,board,,,dest_floor,src_floor,floor_diff,is_open,,,,void board::display(void) const;,,,"Int number_of_sandwiches(int biscuits, double icecream, int wrappers)",
,,,,,,,,,,,,,,,,,,,,,,
,,locCheeseLocation,"lstVisitedRooms (אפשר לחלק את המבוך ל""חדרים"" ו""מעברים"" ולשמור אותם. כל ""חדר"" הוא מבוי סתום).","mzMaze. שמכיל את מיקום הגבינה, מיקום העכבר הנוכחי, רשימת החברים שהעכבר ביקר בהם. ועץ החדרים(/מעברים). חדרים הם data structure קצת יותר מורכב אם לא מדובר במבוך עם מעברים מלבניים.",,,,,"למה החלק הזה של השאלון באנגלית? לא אוהב כל כך את ההתייפיפות סביב ישראלים בישראל שמדברים אנגלית, במגזר ההייטק... לא מסתדר לי אידיאולוגית. לעניין השאלה: קלאסי לממש מטריצה (מערך של מערכים) שמכיל enums של: ריק, איקס, עיגול",dFileSize,,,,,MAX_BENEFITS_PER_MONTH,PRICE_FOR_BENEFIT,nEntitledBenefits,,"התצוגה בדרך כלל רצה ב-thread נפרד, כך שפעולה שמתבצעת לא תתקע את ה-GUI. אם אני שומר את מצב הלוח במטריצה של enums, אז הייתי משתמש ב-updateBoardPresentation(matrix) כדי לעדכן את תצוגת הלוח.","bool IsEnoughSpaceForFileEnlarge(File file, double dNewSize, FileSystem fsFileSystem). כמובן שבתרחיש כזה לא מספיק לדעת *כמה* מקום פנוי יש על הדיסק, צריך גם לדעת כמה מקום פנוי רצוף יש על הדיסק. ה-FileSystem כבר ינהל איפה לשים את הקובץ. אם הייתי מקבל פרמטר כמה מקום פנוי רצוף הכי גדול יש על הדיסק, לא הייתי צריך פונקציה כדי לממש את הבדיקה הזו. בשורה אחת הייתי בודק. את הקובץ עצמו צריך רק כדי לחשב את המקום הפנוי הכי גדול על הדיסק כולל המקום של הקובץ הנוכחי, כמובן.",,"bool IsEnoughBenefitsLeft(int nEntitledBenefits, int nUsedBenefits)"
,,,,,,,,,gameBoard,,,,,,MAX_BENEFITES_PER_MONTH,AMOUNT_PER_BENEFIT,current_month_benefits_count,,displayBoard(board),,"int getNumOfSandwiches(int biscuits, int iceCreamCups, int wrappingPaperWidth, int wrappingPaperHeight)","boolean canUseBenefit(int totalBenefits, int usedBenefits)"
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,game_state,,,,,,,,,,print_game(game_state),,,
FULL_TIME_CAP,OVERTIME_WAGE,,,,,,,,grid,,,,,,,,,,draw_grid(grid),,,
,,,,,,,,,,,Destination_floor,Current_floor,Number_of_floors,Door_state,,,,,,,,
,,,,,cheese_location,visited,labyrinth,,board_state,file_size,,,,,,,,,draw_grid(board_state),"isValidIncrease(file, addSpaceSize, freeSpaceSize)",,
FULL_TIME_HOURS,OVERTIME_RATE,TODAY_CHEESE_LOCATION,visitedLocations,maze,,,,,,size,,,,,,,,,,"bool canIncreaseFilSize(file,byAmount,diskCapacity)",,
,,targetPosition,visitedPositions,mazeMap,,,,,,,,,,,usedBenefitsCount,minAccumulatedTarget,currentBenefitsCount,,,,,"stillHasBenefits(int totalBenefits, int usedBenefits)"
,,,,,,,,curr_board,,,,,,,,,,draw_board(Board board),,,,
,,,,,,,,,,,,,,,,,,,,,,
C_weeklyWorkHours,overtimeRate,,,,,,,,gridState,,var1=designatedFloor,var2=currentFloor,var3=numOfFloorsToGo,doorState,C_benefitsPerMonth,C_EntitlingSum,currentMonthBenefitsCount,,displayGrid(),,,"benefitsCurrentBalance(currentMonthBenefitsCount, currentMonthUsedBenefitsCount)"
,,,,,cheese_location,locations_visited,labyrinth_data,,game_grid,,,,,,,,,,display_game_grid(game grid),,,
HOURLY_WAGE_PAY_INCREASE_THREs,SHOLD,,,,current_cheese_location,rooms_visited,maze,,,,,,,,,,,,,,,
,,,,,,,,,,,i_dest_floor,i_src_floor,i_delta_floor,b_elevator_door_state,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,cheeseCoordinates,visitedRooms,labyrinthGraph,matState,,,,,,,,,,PrintMatState(matState),,,,
,,,,,,,,,,,desirableFloor,currentFloor,numOfFloorToMove,currentDoorsState,private static int MAX_BENEFITS_PER_MONTH = 4;,private static int MONEY_FOR_BEFIT = 2000;,private int currentMonthBenefitsNum;,,,,,"private static boolean isCanUserUseBenefit(int thisMonthBenefits, int usedBenefits);"
