Q54,Q55,Q61,Q62,Q63,Q79,Q80,Q81a,Q81b,Q93,Q99,Q123,Q124,Q125,Q127,Q136,Q137,Q138,Q84,Q96a,Q103,Q117,Q139
const int weekly_fixed_hours,double overtime_rate,"pair<int, int>dest_room; //two co-ordinates for one room in a 2D Maze","vector<pair<int, int>> visited; //two co-ordinates for one room in a 2D Maze",vector<vector<int>> maze; //for 2D maze,,,,,,,dest_floor,curr_floor,skip_floors,"Set a boolean var open, true if door is open, false otherwise. Put it under a while loop for continuous checking, which calls a function depending on the variable.",,,,,,,"int possible_sandwiches(int choco_bis, double vanilla, double paper)",
none,none,,,,,,,,tic,,one,n,none,none,4,2000,0,,ok,,,1
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Monthly benefits ,Billed amount per benefit,Benefit entitlement ,,,,,"Fun benefit balance( entitled, redeemed)...return balance"
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
FullTimeRequiredHours,HourlyOvertimeRate,,,,,,,,board,bytes,,,,,,,,,drawBoard(board),"canIncreaseSize(file, additionalBytes, availableSpace)","sandwichCapacity(biscuits, iceCream, wrappingPaper)",
time_required,overtime_pay,,,,,,,,,arrangeFilesBySize,value_1,value_2,resultany,door_status,number_of_benefit,amount_entitled,number_of_benefit,,,isStorageAvailable,,remaining_benefits
,,,,,,,,,,,,,,,,,,,,,,
MAX_STANDARD_HOURS_PER_WEEK,overtimeRate,,,,,,,,,size,desiredFloor,currentFloor,distance,doorStatus,MAX_BENEFITS_PER_MONTH,SPENDING_NEEDED_FOR_BENEFIT,benefitsAwarded,,,"Boolean spaceIsAvailable(Object file, int increase)",,"Boolean benefitIsAvailable( int benefitsAwarded, int benefitsUsed )"
,,,,,,,,board_state,,file_size,destination_floor,current_floor,floor_difference,door_open,max_benefits_per_month,spend_per_benefit,remaining_benefits,void display(board_state),,"bool is_space_available(increase_by, available_space, used_space)",,"bool is_available(max_benefits_per_month, benefits_used)"
,,,,,,,,,,,,,,,,,,,,,,
baseWage,overtimeWage,,,,cheeseRoom,visitedRooms,Linked list,2D list/array,,,,,,,,,,showBoard(parameters),,,numSandwiches(parameters),
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,curr_cheese_loc,visited_loc,maze_path,,,,,,file_sz,final_floor,initial_floor,floor_travelled,flag door_status,,,,,,blahsdvshhuraah,apigoesbrrrrrrr,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"getNumberOfProducibleSandwiches(numBiscuits: number, cupsIceCream: number, wrappingPapers: number): number;",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,file_size,Destination_floor,Current_floor,Nfloors_move,doorisopen,,,,,,Checkif_sufficient _space(),,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
threshold,hour_pay,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Attach variables and coordinates to each block on the grid and declare the winning patterns. If any winning pattern ends up with all X or all O then that player wins,,,,,,,,,,"show_playarea(int row, int col)",,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,input1,input2,input3,is_elevator_open,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
